2018-ss	Datenbanken_und_Informationssysteme	3.3
2020-ws	Graphentheorie	5.0
2014-ws	Roboter-Kartierung_Robot_Mapping	2.0
2015-ws	Einführung_in_die_Programmierung	2.7
2011-ws	Mathematik_I_für_Ingenieure_und_Informatiker	1.3
2018-ss	Machine_Learning	2.7
2016-ws	Einführung_in_die_Programmierung	2.7
2019-ws	Rechnernetze	2.3
2012-ws	Softwaretechnik	2.7
2017-ws	Cyber-Physikalische_Systeme_Diskrete_Modelle	2.3
2016-ss	Verteilte_Systeme_Distributed_Systems	2.7
2020-ws	Mathematik_I_für_Studierende_der_Informatik_und_der_Ingenieurwissenschaften	2.0
2016-ws	Informatik_III_Theoretische_Informatik	3.7
2013-ss	Foundations_of_Artificial_Intelligence	4.0
2017-ss	Mathematik_II_für_Informatiker	3.0
2018-ws	Einführung_in_Embedded_Systems	1.3
2016-ss	Algorithmen_und_Datenstrukturen	1.7
2014-ss	Einführung_in_die_Informatik	3.0
2019-ws	Betriebssysteme	1.0
2017-ws	Einführung_in_Embedded_Systems	3.0
2020-ss	Technische_Informatik	3.7
2020-ws	Einführung_in_Embedded_Systems	2.0
2017-ws	Echtzeitsysteme	2.0
2013-ws	Graphentheorie	1.3
2018-ws	Image_Processing_and_Computer_Graphics	1.3
2012-ss	Mathematik_II_für_Informatiker	5.0
2016-ws	Logik_für_Informatiker	1.0
2011-ws	Einführung_in_die_Informatik	1.0
2019-ss	Einführung_in_die_Programmierung	5.0
2016-ws	Einführung_in_die_Programmierung	3.0
2014-ss	Optimierung	4.0
2011-ws	Logik_für_Informatiker	3.3
2019-ws	Image_Processing_and_Computer_Graphics	1.3
2020-ws	Einführung_in_die_Programmierung	5.0
2018-ws	Datenbanken_und_Informationssysteme	3.0
2019-ss	Datenbanken_und_Informationssysteme	3.0
2015-ss	Machine_Learning	3.7
2015-ws	Mathematik_I_für_Ingenieure_und_Informatiker	5.0
2017-ss	Algorithmen_und_Datenstrukturen	1.0
2013-ws	Technische_Informatik	5.0
2014-ss	Algorithmen_und_Datenstrukturen	1.3
2019-ws	Betriebssysteme	2.7
2017-ws	Technische_Informatik	4.0
2018-ws	Systeme_I_Betriebssysteme	5.0
2015-ws	Peer-to-Peer_Netzwerke_Peer-to-Peer_Networks	1.0
2015-ss	Mathematik_II_für_Informatiker	2.3
2020-ws	Einführung_in_die_Programmierung	5.0
2015-ss	Systeme_II_Rechnernetze	5.0
2014-ws	Mathematik_I_für_Ingenieure_und_Informatiker	5.0
2013-ws	Informatik_III_Theoretische_Informatik	3.0
2014-ws	Cyber-Physikalische_Systeme_Diskrete_Modelle	1.0
2015-ws	Mathematik_I_für_Ingenieure_und_Informatiker	1.3
2015-ss	Cyber-Physische_Systeme_Hybrid-Modelle	1.3
2019-ss	Spieltheorie_Game_Theory	3.0
2020-ws	Algorithms_and_Data_Structures_Conditional_Course_Examination	4.0
2020-ss	Image_Processing_and_Computer_Graphics	1.3
2012-ws	Logik_für_Informatiker	1.3
2020-ss	Algorithmen_und_Datenstrukturen	1.3
2013-ws	Mathematik_I_für_Ingenieure_und_Informatiker	3.7
2016-ws	Bioinformatics_II	1.3
2020-ws	Artificial_Intelligence_Planning	3.3
2016-ws	Einführung_in_die_Programmierung	5.0
2020-ws	Einführung_in_Embedded_Systems	2.0
2017-ss	Mathematik_I_für_Ingenieure_und_Informatiker	2.7
2019-ss	Stochastik	3.0
2018-ws	Einführung_in_die_Programmierung	5.0
2012-ss	Softwaretechnik	5.0
2015-ws	Informatik_III_Theoretische_Informatik	3.0
2012-ss	Algorithmen_und_Datenstrukturen	2.7
2017-ws	Systeme_I_Betriebssysteme	2.3
2018-ss	Einführung_in_die_Programmierung	2.0
2016-ws	Cyber-Physikalische_Systeme_Diskrete_Modelle	1.3
2020-ss	Rechnerarchitekur	5.0
2019-ws	Logik_für_Studierende_der_Informatik	2.3
2012-ss	Mathematik_I_für_Ingenieure_und_Informatiker	2.7
2017-ws	Einführung_in_Embedded_Systems	2.0
2016-ws	Technische_Informatik	2.0
2020-ss	Theoretische_Informatik	2.0
2019-ss	Algorithmen_und_Datenstrukturen	2.7
2018-ws	Einführung_in_die_Programmierung	5.0
2013-ws	Mathematik_I_für_Ingenieure_und_Informatiker	2.3
2018-ss	Algorithmen_und_Datenstrukturen	1.7
2020-ws	Einführung_in_die_Programmierung	2.7
2017-ss	Softwaretechnik	1.3
2016-ss	Softwaretechnik	2.0
2018-ss	Systeme_II_Rechnernetze	1.7
2018-ss	Einführung_in_die_Informatik	2.7
2020-ws	Datenbanken_und_Informationssysteme	1.3
2020-ss	Hardware_Security_and_Trust	1.7
2017-ss	Datenanalyse_und_Abfragesprachen_Data_Analysis_and_Query_Languages	2.0
2015-ws	Einführung_in_die_Programmierung	2.0
2016-ws	Graphentheorie	4.0
2011-ws	Stochastik	2.3
2013-ss	Systeme_II_Rechnernetze	3.3
2018-ss	RNA_Bioinformatik_RNA_Bioinformatics	5.0
2015-ws	Technische_Informatik	3.7
2015-ws	Technische_Informatik	5.0
2012-ss	Rechnerarchitektur_Computer_Architecture	5.0
2014-ws	Foundations_of_Artificial_Intelligence	1.7
2017-ws	Foundations_of_Artificial_Intelligence	5.0
2011-ss	Foundations_of_Artificial_Intelligence	1.3
2016-ss	Einführung_in_die_Programmierung	5.0
2011-ws	Mathematik_I_für_Ingenieure_und_Informatiker	5.0
2020-ws	Cyber-Physikalische_Systeme_Diskrete_Modelle	1.0
2015-ss	Stochastik	2.0
2019-ws	Mathematik_I_für_Studierende_der_Informatik_und_der_Ingenieurwissenschaften	5.0
2019-ss	Stochastik	3.0
2020-ws	Mathematik_I_für_Studierende_der_Informatik_und_der_Ingenieurwissenschaften	1.7
2018-ws	Technische_Informatik	5.0
2014-ws	Informatik_III_Theoretische_Informatik	2.0
2015-ws	Artificial_Intelligence_Planning	5.0
2014-ws	Datenbanken_und_Informationssysteme	2.0
2018-ws	Image_Processing_and_Computer_Graphics	3.7
2018-ws	Mathematik_I_für_Ingenieure_und_Informatiker	5.0
2016-ss	Systeme_II_Rechnernetze	5.0
2020-ws	Spieltheorie_Game_Theory	3.7
2015-ws	Cyber-Physikalische_Systeme_Diskrete_Modelle	3.7
2018-ws	Technische_Informatik	5.0
2020-ws	Foundations_of_Artificial_Intelligence	2.3
2015-ss	Einführung_in_die_Informatik	4.0
2018-ws	Rechnernetze	2.0
2018-ss	Statistische_Mustererkennung_Statistical_Pattern_Recognition	2.7
2020-ws	Datenbanken_und_Informationssysteme	5.0
2011-ws	Datenbanken_und_Informationssysteme	1.0
2016-ws	Technische_Informatik	2.7
2019-ss	Funktionale_Programmierung_Functional_Programming	1.0
2019-ws	Einführung_in_die_Programmierung	4.0
2014-ws	Systeme_I_Betriebssysteme	1.7
2013-ws	Systeme_I_Betriebssysteme	5.0
2019-ws	Mathematik_I_für_Studierende_der_Informatik_und_der_Ingenieurwissenschaften	1.3
2016-ws	Einführung_in_die_Programmierung	3.0
2018-ws	Einführung_in_die_Programmierung	5.0
2015-ws	Mathematik_I_für_Ingenieure_und_Informatiker	2.0
2015-ss	Mathematik_II_für_Informatiker	1.0
